[
  "Write me the ad copy for a social media ad for {'brand_name': 'HDMI Retro Game Stick'. Product description:  'product_description': 'A plug-and-play HDMI device that connects to your TV and comes preloaded with 15",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Kane's (on Goldbelly)\". Product description: \n  \"product_description\": \"Jelly donuts from Kane's in Massachusetts",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Dr. Squatch\". Product description: \n  \"product_description\": \"Natural personal care products for men",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Glostix\". Product description: \n  \"product_description\": \"A product applied to teeth that protects them from food and drink stains or damage",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Rise\". Product description: \n  \"product_description\": \"A gut-healing drink made with a blend of six adaptogenic mushrooms (king trumpet",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Rise\". Product description: \n  \"product_description\": \"A mushroom matcha drink packed with matcha and six powerful adaptogenic mushrooms",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Rise Mushroom Matcha\". Product description: \n  \"product_description\": \"A supplement blend that combines six superfood mushrooms",
  "Write me the ad copy for a social media ad for {\n    \"brand_name\": \"Dr. Squatch\". Product description: \n    \"product_description\": \"A natural soap for men",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"HiSmile\". Product description: \n  \"product_description\": \"A gloss stick that uses advanced pearlescent brightening technology to whiten teeth and remove stains from coffee",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Bessies\". Product description: \n  \"product_description\": \"100% waterproof sneakers that combine comfort",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Magic Spoon\". Product description: \n  \"product_description\": \"Magic Spoon is a high-protein",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Unknown (Not explicitly stated in transcript)\". Product description: \n  \"product_description\": \"A discount bundle of cold processed soaps",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Dr. Squatch\". Product description: \n  \"product_description\": \"Natural cold-processed body wash bars (soaps) with scents like Pine Tar and Fresh Falls",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"HexClad\". Product description: \n  \"product_description\": \"High-quality",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Cereal/Snack Brand (likely something nostalgic like Froot Loops. Product description:  Lucky Charms",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Ritual\". Product description: \n  \"product_description\": \"A prenatal vitamin supplement containing 12 key nutrients for pregnancy",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Tempt from Maelys\". Product description: \n  \"product_description\": \"A highly popular perfume that is described as fresh",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Dr. Squatch\". Product description: \n  \"product_description\": \"A subscription service delivering hygiene products",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Dr. Squatch\". Product description: \n  \"product_description\": \"Natural cologne for men",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Maylee's Icons Bundle\". Product description: \n  \"product_description\": \"A set of body creams designed to target areas such as arms",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Henry Meds\". Product description: \n  \"product_description\": \"An online telehealth service that provides access to compounded semaglutide—a medication used for weight loss—through a simplified three-step process.\"\n}",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Feel Free\". Product description: \n  \"product_description\": \"A functional",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Feel Free Wellness Tonic\". Product description: \n  \"product_description\": \"An all-natural beverage designed to boost sociability",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Truly\". Product description: \n  \"product_description\": \"The Smooth Legends Complete Set is a shaving kit designed to prevent razor bumps and ingrown hairs while providing a close",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Unknown (not provided in the transcript)\". Product description: \n  \"product_description\": \"A skincare routine designed to treat 'strawberry legs' (dark pores or bumps on the skin)",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"window replacement service\". Product description: \n  \"product_description\": \"A service that provides and installs brand new windows in your home",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Artistic Calendar Pad\". Product description: \n  \"product_description\": \"A calendar pad where each torn-off page contributes to creating a beautiful castle-shaped structure.\"\n}",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Nutter Machine\". Product description: \n  \"product_description\": \"A kitchen appliance that allows users to quickly and easily make homemade plant-based milks in single-serving quantities",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Ritual Synbiotic+\". Product description: \n  \"product_description\": \"A daily supplement that combines prebiotics",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Dr. Squatch\". Product description: \n  \"product_description\": \"A natural deodorant made specifically for men that helps prevent sweat stains",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Loop Earplugs\". Product description: \n  \"product_description\": \"Noise-reducing earplugs with stylish",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Dermatica\". Product description: \n  \"product_description\": \"Dermatica is an online dermatology service that provides personalized",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Matica\". Product description: \n  \"product_description\": \"A personalized skincare treatment service that provides custom-formulated topical solutions for improving skin health",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Inito\". Product description: \n  \"product_description\": \"A fertility tracking device that measures and analyzes all fertility hormones with a single strip",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Avi\". Product description: \n  \"product_description\": \"A supplement that contains collagen and hyaluronic acid",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Avi's Collagenic Fat Burner\". Product description: \n  \"product_description\": \"A supplement blend designed to boost metabolism and promote weight loss while supplying five types of anti-aging collagen to support plumper skin",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Avi\". Product description: \n  \"product_description\": \"Avi's collagenic fat burner is a dietary supplement capsule designed to help with weight loss by curbing appetite",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Branwyn\". Product description: \n  \"product_description\": \"Merino wool bras that are odor-resistant",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Sand & Sky\". Product description: \n  \"product_description\": \"An online skin quiz that provides personalized skincare product recommendations based on your individual needs.\"\n}",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"10pm Night Drink\". Product description: \n  \"product_description\": \"A hot chocolate beverage that helps you fall asleep and stay asleep by using natural ingredients like magnesium and zinc. It claims to reduce anxiety and stress",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Clean Greens\". Product description: \n  \"product_description\": \"A natural supplement designed to support digestive health and boost energy levels",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"EarnIn\". Product description: \n  \"product_description\": \"An app that allows users to access a portion of their earned wages before payday",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Mudwater\". Product description: \n  \"product_description\": \"Mudwater is a coffee alternative beverage made with adaptogenic mushrooms (such as lion's mane",
  "Write me the ad copy for a social media ad for {\n  \"brand_name\": \"Moon Teeth Whitening Device\". Product description: \n  \"product_description\": \"An advanced teeth whitening device that works with dissolving whitening strips to whiten teeth up to 12 shades",
